geo_level,geo_code,geoid,name,total,No,Unspecified,Yes
country,ZA,country-ZA,South Africa,9886916,344992,50430,9491494
municipality,WC044,municipality-WC044,George,32616,379,127,32110
municipality,WC047,municipality-WC047,Bitou,7572,195,19,7358
municipality,WC048,municipality-WC048,Knysna,10615,356,29,10230
municipality,WC051,municipality-WC051,Laingsburg,1177,11,6,1160
municipality,WC052,municipality-WC052,Prince Albert,2227,7,1,2219
municipality,WC053,municipality-WC053,Beaufort West,8126,49,70,8007
municipality,MP303,municipality-MP303,Mkhondo,30525,471,109,29945
municipality,MP311,municipality-MP311,Victor Khanye,13535,514,79,12942
municipality,MP322,municipality-MP322,Mbombela,124575,4290,531,119754
municipality,NW373,municipality-NW373,Rustenburg,94936,7640,623,86673
municipality,NW384,municipality-NW384,Ditsobotla,29720,460,57,29203
municipality,NW396,municipality-NW396,Lekwa-Teemane,9567,106,25,9436
municipality,NC062,municipality-NC062,Nama Khoi,7484,49,5,7430
municipality,NC071,municipality-NC071,Ubuntu,3079,43,6,3030
municipality,NC077,municipality-NC077,Siyathemba,3468,40,7,3421
municipality,NC085,municipality-NC085,Tsantsabane,6422,68,15,6339
municipality,NC094,municipality-NC094,Phokwane,11411,120,24,11267
municipality,WC012,municipality-WC012,Cederberg,8037,226,53,7758
municipality,WC024,municipality-WC024,Stellenbosch,32264,841,289,31134
municipality,WC033,municipality-WC033,Cape Agulhas,5242,154,50,5038
municipality,WC045,municipality-WC045,Oudtshoorn,16354,79,24,16251
municipality,EC102,municipality-EC102,Blue Crane Route,5857,40,22,5795
municipality,EC103,municipality-EC103,Ikwezi,1662,22,6,1634
municipality,EC104,municipality-EC104,Makana,13753,291,57,13405
municipality,EC106,municipality-EC106,Sundays River Valley,9365,335,22,9008
municipality,EC107,municipality-EC107,Baviaans,2794,21,2,2771
municipality,EC108,municipality-EC108,Kouga,15720,282,79,15359
municipality,EC109,municipality-EC109,Kou-Kamma,6672,185,27,6460
municipality,EC121,municipality-EC121,Mbhashe,52649,192,171,52286
municipality,EC123,municipality-EC123,Great Kei,6666,18,38,6610
municipality,EC124,municipality-EC124,Amahlathi,22059,93,37,21929
municipality,EC126,municipality-EC126,Ngqushwa,11954,58,36,11860
municipality,EC127,municipality-EC127,Nkonkobe,20924,199,73,20652
municipality,EC131,municipality-EC131,Inxuba Yethemba,10970,85,30,10855
municipality,EC132,municipality-EC132,Tsolwana,6263,84,34,6145
municipality,EC133,municipality-EC133,Inkwanca,4122,44,15,4063
municipality,EC134,municipality-EC134,Lukanji,36389,525,86,35778
municipality,EC136,municipality-EC136,Emalahleni,22263,205,83,21975
municipality,EC137,municipality-EC137,Engcobo,29896,180,378,29338
municipality,EC138,municipality-EC138,Sakhisizwe,12644,115,109,12420
municipality,EC141,municipality-EC141,Elundini,28411,331,135,27945
municipality,EC142,municipality-EC142,Senqu,27396,985,162,26249
municipality,EC143,municipality-EC143,Maletswai,8097,102,23,7972
municipality,EC153,municipality-EC153,Ngquza Hill,59427,205,217,59005
municipality,EC154,municipality-EC154,Port St Johns,34389,52,161,34176
municipality,EC155,municipality-EC155,Nyandeni,64655,183,313,64159
municipality,EC156,municipality-EC156,Mhlontlo,40277,136,258,39883
municipality,EC441,municipality-EC441,Matatiele,41021,701,361,39959
municipality,EC442,municipality-EC442,Umzimvubu,39664,163,323,39178
municipality,EC443,municipality-EC443,Mbizana,60208,129,338,59741
municipality,EC444,municipality-EC444,Ntabankulu,26569,84,75,26410
municipality,FS161,municipality-FS161,Letsemeng,6733,60,7,6666
municipality,FS162,municipality-FS162,Kopanong,8384,104,11,8269
municipality,FS163,municipality-FS163,Mohokare,6421,118,6,6297
municipality,FS181,municipality-FS181,Masilonyana,10944,158,61,10725
municipality,FS182,municipality-FS182,Tokologo,4970,63,13,4894
municipality,FS183,municipality-FS183,Tswelopele,8870,84,8,8778
municipality,FS184,municipality-FS184,Matjhabeng,75962,2963,214,72785
municipality,FS185,municipality-FS185,Nala,14927,148,33,14746
municipality,FS192,municipality-FS192,Dihlabeng,22404,279,33,22092
municipality,FS193,municipality-FS193,Nketoana,11392,90,16,11286
municipality,FS194,municipality-FS194,Maluti a Phofung,72911,511,137,72263
municipality,FS195,municipality-FS195,Phumelela,8899,114,4,8781
municipality,FS201,municipality-FS201,Moqhaka,26470,325,57,26088
municipality,FS203,municipality-FS203,Ngwathe,21159,317,42,20800
municipality,FS204,municipality-FS204,Metsimaholo,26671,569,94,26008
municipality,FS205,municipality-FS205,Mafube,10803,110,30,10663
municipality,GT421,municipality-GT421,Emfuleni,137855,4852,703,132300
municipality,GT423,municipality-GT423,Lesedi,16975,677,84,16214
municipality,GT481,municipality-GT481,Mogale City,61201,4591,379,56231
municipality,GT482,municipality-GT482,Randfontein,25429,1128,133,24168
municipality,GT483,municipality-GT483,Westonaria,20140,2536,128,17476
municipality,KZN211,municipality-KZN211,Vulamehlo,15935,13,104,15818
municipality,KZN212,municipality-KZN212,Umdoni,14818,52,75,14691
municipality,KZN213,municipality-KZN213,Umzumbe,33441,61,115,33265
municipality,KZN214,municipality-KZN214,UMuziwabantu,20550,45,56,20449
municipality,KZN215,municipality-KZN215,Ezingoleni,10861,21,21,10819
municipality,KZN221,municipality-KZN221,uMshwathi,22178,190,103,21885
municipality,KZN222,municipality-KZN222,uMngeni,15706,550,90,15066
municipality,KZN223,municipality-KZN223,Mpofana,7273,87,54,7132
municipality,KZN224,municipality-KZN224,Impendle,6857,24,25,6808
municipality,KZN225,municipality-KZN225,The Msunduzi,124237,1762,608,121867
municipality,KZN226,municipality-KZN226,Mkhambathini,12647,135,17,12495
municipality,KZN232,municipality-KZN232,Emnambithi/Ladysmith,46170,376,207,45587
municipality,KZN233,municipality-KZN233,Indaka,21866,26,68,21772
municipality,KZN234,municipality-KZN234,Umtshezi,16072,116,90,15866
municipality,KZN235,municipality-KZN235,Okhahlamba,26415,159,55,26201
municipality,KZN236,municipality-KZN236,Imbabazane,23912,31,102,23779
municipality,KZN242,municipality-KZN242,Nqutu,34986,90,60,34836
municipality,KZN244,municipality-KZN244,Msinga,36125,58,172,35895
municipality,KZN245,municipality-KZN245,Umvoti,20838,121,63,20654
municipality,KZN252,municipality-KZN252,Newcastle,75163,644,280,74239
municipality,KZN254,municipality-KZN254,Dannhauser,21651,63,29,21559
municipality,KZN261,municipality-KZN261,eDumbe,17002,165,61,16776
municipality,KZN262,municipality-KZN262,UPhongolo,28089,589,96,27404
municipality,KZN263,municipality-KZN263,Abaqulusi,42523,241,225,42057
municipality,KZN265,municipality-KZN265,Nongoma,43231,107,230,42894
municipality,KZN266,municipality-KZN266,Ulundi,39695,147,143,39405
municipality,KZN272,municipality-KZN272,Jozini,41474,310,172,40992
municipality,KZN273,municipality-KZN273,The Big 5 False Bay,7481,56,126,7299
municipality,KZN274,municipality-KZN274,Hlabisa,15989,33,76,15880
municipality,KZN275,municipality-KZN275,Mtubatuba,37293,311,276,36706
municipality,KZN281,municipality-KZN281,Mfolozi,26388,134,226,26028
municipality,KZN283,municipality-KZN283,Ntambanana,16530,39,125,16366
municipality,KZN284,municipality-KZN284,uMlalazi,45337,296,250,44791
municipality,KZN285,municipality-KZN285,Mthonjaneni,9718,89,26,9603
municipality,KZN286,municipality-KZN286,Nkandla,24302,40,72,24190
municipality,KZN291,municipality-KZN291,Mandeni,29135,376,109,28650
municipality,KZN293,municipality-KZN293,Ndwedwe,29554,73,114,29367
municipality,KZN294,municipality-KZN294,Maphumulo,20652,45,126,20481
municipality,KZN431,municipality-KZN431,Ingwe,20904,92,72,20740
municipality,KZN432,municipality-KZN432,Kwa Sani,2258,23,9,2226
municipality,KZN434,municipality-KZN434,Ubuhlebezwe,21054,68,94,20892
municipality,KZN435,municipality-KZN435,Umzimkhulu,39335,94,240,39001
municipality,LIM331,municipality-LIM331,Greater Giyani,57527,1240,160,56127
municipality,LIM332,municipality-LIM332,Greater Letaba,49850,1752,134,47964
municipality,LIM333,municipality-LIM333,Greater Tzaneen,82671,2103,202,80366
municipality,LIM335,municipality-LIM335,Maruleng,20622,261,62,20299
municipality,LIM341,municipality-LIM341,Musina,12886,4274,129,8483
municipality,LIM342,municipality-LIM342,Mutale,20359,384,70,19905
municipality,LIM343,municipality-LIM343,Thulamela,141558,4458,402,136698
municipality,LIM344,municipality-LIM344,Makhado,109391,3639,334,105418
municipality,LIM351,municipality-LIM351,Blouberg,36381,850,94,35437
municipality,LIM353,municipality-LIM353,Molemole,22480,993,51,21436
municipality,LIM354,municipality-LIM354,Polokwane,131206,4638,385,126183
municipality,LIM355,municipality-LIM355,Lepele-Nkumpi,47559,734,121,46704
municipality,LIM361,municipality-LIM361,Thabazimbi,12940,1162,61,11717
municipality,LIM362,municipality-LIM362,Lephalale,22419,1469,94,20856
municipality,LIM365,municipality-LIM365,Modimolle,12380,787,56,11537
municipality,LIM366,municipality-LIM366,Bela-Bela,11262,572,36,10654
municipality,BUF,municipality-BUF,Buffalo City,136181,1370,641,134170
municipality,EC101,municipality-EC101,Camdeboo,8274,31,32,8211
municipality,EC105,municipality-EC105,Ndlambe,9536,158,41,9337
municipality,EC122,municipality-EC122,Mnquma,49060,170,189,48701
municipality,EC128,municipality-EC128,Nxuba,3877,51,9,3817
municipality,EC135,municipality-EC135,Intsika Yethu,26432,224,111,26097
municipality,EC144,municipality-EC144,Gariep,5799,66,18,5715
municipality,EC157,municipality-EC157,King Sabata Dalindyebo,99986,733,466,98787
municipality,NMA,municipality-NMA,Nelson Mandela Bay,208282,3670,973,203639
municipality,FS164,municipality-FS164,Naledi,4785,126,10,4649
municipality,FS191,municipality-FS191,Setsoto,21337,426,34,20877
municipality,FS196,municipality-FS196,Mantsopa,9643,274,18,9351
municipality,MAN,municipality-MAN,Mangaung,146807,4040,433,142334
municipality,EKU,municipality-EKU,Ekurhuleni,564110,37309,3470,523331
municipality,GT422,municipality-GT422,Midvaal,15038,1246,133,13659
municipality,GT484,municipality-GT484,Merafong City,33221,2385,206,30630
municipality,JHB,municipality-JHB,City of Johannesburg,767187,88966,6756,671465
municipality,TSH,municipality-TSH,City of Tshwane,524206,33748,3223,487235
municipality,ETH,municipality-ETH,eThekwini,697570,10758,4405,682407
municipality,KZN216,municipality-KZN216,Hibiscus Coast,49407,233,293,48881
municipality,KZN227,municipality-KZN227,Richmond,12625,179,26,12420
municipality,KZN241,municipality-KZN241,Endumeni,12606,99,42,12465
municipality,KZN253,municipality-KZN253,Emadlangeni,6444,46,10,6388
municipality,KZN271,municipality-KZN271,Umhlabuyalingana,33535,189,142,33204
municipality,KZN282,municipality-KZN282,uMhlathuze,68950,752,372,67826
